OBJECTID,STREET,LOCATION,TYPE,LANES,REASON,STATUS,START,END_,SOURCE,COMMENT,EVENT,created_date,last_edited_user,last_edited_date,created_user,REGION_CITY,AGO_USER,IS_DRILL,Shape__Length
2817,CALHOUN ST,BETWEEN OGIER ST AND RUTLEDGE AVE,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,FLOOD,ACTIVE,2018/04/23 16:00:00+00,2018/04/23 17:45:00+00,Charleston PD,"Westbound Lane 2 flooded, Lane 1 passable",,2018/04/23 21:43:25+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 19:50:32+00,city\mortons,,,No,51.5951196359185
2819,HUGER ST,BETWEEN ASHLEY AVE AND ELMWOOD AVE,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/04/16 09:00:00+00,2018/05/04 15:00:00+00,Charleston PD,LASHING AERIAL CABLE TO EXISTING STRANDS,,2018/04/25 19:56:01+00,HERRINJ,2018/04/25 19:56:58+00,HERRINJ,,,No,595.535090515988
2820,PRESIDENT ST,BETWEEN MOULTRIE ST AND SUMTER ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/04/16 09:00:00+00,2018/05/04 15:00:00+00,Charleston PD,LASH AERIAL CABLE TO EXISTING STRANDS,,2018/04/25 20:00:26+00,HERRINJ,2018/04/25 20:02:12+00,HERRINJ,,,No,514.025899287441
2821,PARKWOOD AVE,BETWEEN MOULTRIE ST AND SUMTER ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/04/16 09:00:00+00,2018/05/04 15:00:00+00,Charleston PD,LASH AERIAL CABLE,,2018/04/25 20:04:37+00,HERRINJ,2018/04/25 20:05:38+00,HERRINJ,,,No,500.776932077496
2823,SPRING ST,BETWEEN RUTLEDGE ST AND ASHLEY AVE,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/04/18 09:00:00+00,2018/04/20 15:00:00+00,Charleston PD,PULLING IN WIRE,,2018/04/25 20:14:51+00,HERRINJ,2018/04/25 20:15:41+00,HERRINJ,,,No,149.979154174836
2824,LEE ST,BETWEEN MEETING ST AND NASSAU ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/04/23 09:00:00+00,2018/04/23 15:30:00+00,Charleston PD,INSTALLING DUCT BANK,,2018/04/25 20:16:57+00,HERRINJ,2018/04/25 20:17:49+00,HERRINJ,,,No,149.779334879899
2825,MEETING ST,BETWEEN REID ST AND SHEPPARD ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/04/16 09:00:00+00,2018/04/27 15:00:00+00,Charleston PD,PLACING FIBER FROM MH TO MH,,2018/04/25 20:20:03+00,HERRINJ,2018/04/25 20:21:46+00,HERRINJ,,,No,676.839823021701
2827,LINGUARD ST,BETWEEN CHURCH ST AND STATE ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2018/04/24 08:00:00+00,2018/04/24 11:00:00+00,Charleston PD,SETTING AC UNIT ON ROOF,,2018/04/25 20:28:14+00,HERRINJ,2018/04/25 20:29:15+00,HERRINJ,,,No,133.00920784649
2828,LINGUARD ST,BETWEEN CHURCH ST AND STATE ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2018/04/24 08:00:00+00,2018/04/24 11:00:00+00,Charleston PD,SETTING AC UNIT ON ROOF,,2018/04/27 20:15:35+00,HERRINJ,2018/04/27 20:16:33+00,HERRINJ,,,No,133.003608522135
2829,SAINT PHILIP ST,BETWEEN CALHOUN ST AND GEORGE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/14 08:00:00+00,2018/05/14 12:00:00+00,Charleston PD,ROBINSON THEATRE LOAD IN,,2018/04/27 20:18:20+00,HERRINJ,2018/04/27 20:19:20+00,HERRINJ,,,No,269.042813741076
2830,SOCIETY ST,BETWEEN MEETING ST AND ANSON ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2018/04/23 07:00:00+00,2018/04/30 17:00:00+00,Charleston PD,CRANE WORK,,2018/04/27 20:20:06+00,HERRINJ,2018/04/27 20:20:58+00,HERRINJ,,,No,204.920212897947
2832,MEETING ST,BETWEEN CUMBERLAND ST AND QUEEN ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/04/26 09:00:00+00,2018/04/27 13:00:00+00,Charleston PD,TAKE DOWN POWER LINES,,2018/04/27 20:28:38+00,HERRINJ,2018/04/27 20:29:30+00,HERRINJ,,,No,183.546378189476
2833,HORLBECK ALY,BETWEEN KING ST AND MEETING ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/04/26 09:00:00+00,2018/04/27 13:00:00+00,Charleston PD,TAKE DOWN POWER LINES,,2018/04/27 20:30:14+00,HERRINJ,2018/04/27 20:31:14+00,HERRINJ,,,No,189.567117085746
2834,NASSAU ST,BETWEEN LEE ST AND JACKSON ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/04/24 09:00:00+00,2018/04/24 15:00:00+00,Charleston PD,SET NEW POLE,,2018/04/27 20:34:36+00,HERRINJ,2018/04/27 20:35:36+00,HERRINJ,,,No,123.955702399136
2835,FELIX ST,BETWEEN MORRIS ST AND CANNON ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/04 00:00:00+00,2018/06/04 00:00:00+00,Charleston PD,ACCESSING GAS AND WATER MAIN,,2018/04/27 20:39:47+00,HERRINJ,2018/04/27 20:40:36+00,HERRINJ,,,No,204.937649614506
2839,SPRING ST,BETWEEN KING ST AND SAINT PHILLIP ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2018/05/04 01:00:00+00,2018/05/04 06:50:00+00,Charleston PD,POURING OF CONCRETE,,2018/05/08 20:12:22+00,HERRINJ,2018/05/08 20:13:28+00,HERRINJ,,,No,162.627923887405
2846,CANNON ST,BETWEEN PRESIDENT ST AND ISLINGTON CT,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/07 09:30:00+00,2018/06/07 03:30:00+00,Charleston PD,INSTALLING FIRE SERVICES,,2018/05/08 20:30:35+00,HERRINJ,2018/05/08 20:31:42+00,HERRINJ,,,No,195.745577891139
2847,COOPER ST,BETWEEN AMERICA ST AND DRAKE ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2018/05/08 09:00:00+00,2018/06/15 15:00:00+00,Charleston PD,RUNNING GAS SERVICE,,2018/05/08 20:32:19+00,HERRINJ,2018/05/08 20:33:15+00,HERRINJ,,,No,182.33774248463
2849,KING ST,BETWEEN SPRING ST AND COLUMBUS ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/04 09:00:00+00,2018/05/08 15:00:00+00,Charleston PD,PULLING IN NEW WIRE,,2018/05/08 20:36:46+00,HERRINJ,2018/05/08 20:37:36+00,HERRINJ,,,No,115.242699164258
2850,HORLBECK ALY,BETWEEEN KING ST AND MEETING ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/09 09:00:00+00,2018/05/10 14:00:00+00,Charleston PD,PUTTING POWER LINES BACK UP,,2018/05/08 20:38:19+00,HERRINJ,2018/05/08 20:56:33+00,HERRINJ,,,No,189.567117085746
2851,MEETING ST,BETWEEN QUEEN ST AND CUMBERLAND ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/09 09:00:00+00,2018/05/10 14:00:00+00,Charleston PD,POWER LINES BACK UP,,2018/05/09 20:50:34+00,HERRINJ,2018/05/09 20:51:25+00,HERRINJ,,,No,183.546378189476
2852,CUMBERLAND ST,BETWEEN CHURCH ST AND MEETING ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/09 09:00:00+00,2018/05/10 14:00:00+00,Charleston PD,POWER LINES BACK UP,,2018/05/09 20:51:55+00,HERRINJ,2018/05/09 20:52:45+00,HERRINJ,,,No,215.141450077105
2853,PRESIDENT ST,BETWEEN SUMTER ST AND CONGRESS ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/14 09:00:00+00,2018/06/14 15:00:00+00,Charleston PD,INSTALLING GAS SERVICE,,2018/05/09 20:53:45+00,HERRINJ,2018/05/09 20:54:39+00,HERRINJ,,,No,173.514128654905
2857,SAINT PHILIP ST,BETWEEN CALHOUN ST AND VANDERHORST ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/07 09:00:00+00,2018/05/25 15:00:00+00,Charleston PD,PLACING FIBER MANHOLE,,2018/05/11 19:58:11+00,HERRINJ,2018/05/11 19:59:09+00,HERRINJ,,,No,234.81169811568
2858,KING ST,BETWEEN WENTWORTH ST AND LIBERTY ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/07 09:00:00+00,2018/05/25 15:00:00+00,Charleston PD,PLACING FIBER MANHOLE,,2018/05/11 20:00:16+00,HERRINJ,2018/05/11 20:01:27+00,HERRINJ,,,No,130.941034901192
2859,SAINT PHILIP ST,BETWEEN CALHOUN ST AND GEORGE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/07 09:00:00+00,2018/05/24 15:00:00+00,Charleston PD,PLACE FIBER MANHOLE,,2018/05/11 20:02:10+00,HERRINJ,2018/05/11 20:03:08+00,HERRINJ,,,No,269.042813741076
2860,SAINT PHILIP ST,BETWEEN LIBERTY ST AND GEORGE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/07 09:00:00+00,2018/05/24 15:00:00+00,Charleston PD,PLACE FIBER MANHOLE,,2018/05/11 20:03:33+00,HERRINJ,2018/05/11 20:04:29+00,HERRINJ,,,No,135.12775688526
2861,WENTWORTH ST,BETWEEN SAINT PHILIP ST AND KING ST ,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/07 09:00:00+00,2018/05/25 15:00:00+00,Charleston PD,PLACE FIBER MANHOLE ,,2018/05/11 20:04:52+00,HERRINJ,2018/05/11 20:05:49+00,HERRINJ,,,No,159.325088314504
2865,ASHTON ST,BETWEEN NORMAN AND HAGOOD,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/21 09:00:00+00,2018/06/21 15:00:00+00,Charleston PD,INSTALLING GAS SERVICE,,2018/05/11 20:35:01+00,HERRINJ,2018/05/11 20:36:15+00,HERRINJ,,,No,316.509655221162
2867,GEORGE ST,BETWEEN COMING ST AND SAINT PHILIP ST,CLOSED,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/11 12:00:00+00,2018/05/12 22:00:00+00,Charleston PD,SPRING COMMENCEMENT,,2018/05/11 20:40:37+00,HERRINJ,2018/05/11 20:41:52+00,HERRINJ,,,No,212.612502383836
2868,GLEBE ST,BETWEEN WENTWORTH ST AND GEORGE ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2018/05/11 12:00:00+00,2018/05/12 22:00:00+00,Charleston PD,SPRING COMMENCEMENT,,2018/05/11 20:42:11+00,HERRINJ,2018/05/11 20:43:08+00,HERRINJ,,,No,238.251942593401
2869,SAINT PHILIP ST,BETWEEN CALHOUN ST AND GEORGE ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2018/05/12 06:00:00+00,2018/05/12 23:00:00+00,Charleston PD,SPRING COMMENCEMENT,,2018/05/11 20:44:57+00,HERRINJ,2018/05/11 20:45:58+00,HERRINJ,,,No,269.042813741076
2870,SAINT PHILIP ST,BETWEEN CALHOUN ST AND GEORGE ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2018/05/11 12:00:00+00,2018/05/11 23:00:00+00,Charleston PD,SPRING COMMENCEMENT,,2018/05/11 20:46:21+00,HERRINJ,2018/05/11 20:47:14+00,HERRINJ,,,No,269.042813741076
2871,SAINT PHILIP ST,BETWEEN GEORGE ST AND CALHOUN ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/08 08:00:00+00,2018/05/08 12:00:00+00,Charleston PD,LOAD IN FOR PRODUCT DESIGN,,2018/05/11 20:48:02+00,HERRINJ,2018/05/11 20:48:53+00,HERRINJ,,,No,269.042813741076
2872,SAINT PHILIP ST,BETWEEN CALHOUN ST AND GEORGE ST ,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/09 08:00:00+00,2018/05/09 12:00:00+00,Charleston PD,LOAD IN FOR PRODUCT DESIGN,,2018/05/11 20:53:34+00,HERRINJ,2018/05/11 20:54:25+00,HERRINJ,,,No,269.042813741076
2873,SAINT PHILIP ST,BETWEEN CALHOUN ST AND GEORGE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/11 08:00:00+00,2018/05/11 12:00:00+00,Charleston PD,LOAD IN FOR PRODUCT DESIGN,,2018/05/11 20:54:51+00,HERRINJ,2018/05/11 20:55:42+00,HERRINJ,,,No,269.042813741076
2874,SAINT PHILIP ST,BETWEEN CALHOUN ST AND GEORGE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/12 19:00:00+00,2018/05/12 23:00:00+00,Charleston PD,LOAD OUT FOR PRODUCT DESIGN,,2018/05/11 20:55:53+00,HERRINJ,2018/05/11 20:56:49+00,HERRINJ,,,No,269.042813741076
2875,SAINT PHILIP ST,BETWEEN CALHOUN ST AND GEORGE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/19 07:30:00+00,2018/05/19 04:30:00+00,Charleston PD,CISTERN LOAD IN,,2018/05/11 20:57:07+00,HERRINJ,2018/05/11 20:58:07+00,HERRINJ,,,No,269.042813741076
2876,WALNUT ST,BETWEEN E ST AND MEETING ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/14 09:00:00+00,2018/06/14 15:00:00+00,Charleston PD,MOVING POWER LINES & POLE,,2018/05/18 20:00:31+00,HERRINJ,2018/05/18 20:01:26+00,HERRINJ,,,No,363.575337721079
2878,MURPHY CT,BETWEEN SMITH ST AND END OF RD,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/12 08:00:00+00,2018/06/30 17:00:00+00,Charleston PD,WATER MAIN REPLACEMENT,,2018/05/18 20:03:35+00,HERRINJ,2018/05/18 20:04:28+00,HERRINJ,,,No,94.9890143862641
2879,LINE ST,BETWEEN COMING ST AND ASHE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/15 11:00:00+00,2018/05/15 23:00:00+00,Charleston PD,FILMING TV SHOW,,2018/05/18 20:06:14+00,HERRINJ,2018/05/18 20:07:00+00,HERRINJ,,,No,199.448899857998
2880,PERCY ST,BETWEEN LINE ST AND BOGARD ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2018/05/15 11:00:00+00,2018/05/15 23:00:00+00,Charleston PD,FILMING TV SHOW,,2018/05/18 20:09:19+00,HERRINJ,2018/05/18 20:10:06+00,HERRINJ,,,No,172.845873284093
2883,MEETING ST,BETWEEN LINE ST AND COLUMBUS ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/15 07:00:00+00,2018/05/28 19:00:00+00,Charleston PD,BOOM LIFT,,2018/05/18 20:22:25+00,HERRINJ,2018/05/18 20:24:05+00,HERRINJ,,,No,186.169359434524
2884,LINE ST,BETWEEN COMING ST AND ASHE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/16 11:00:00+00,2018/05/16 23:00:00+00,Charleston PD,FILMING TV SHOW,,2018/05/18 20:25:26+00,HERRINJ,2018/05/18 20:26:09+00,HERRINJ,,,No,199.448899857998
2885,PERCY ST,BETWEEN LINE ST AND BOGARD ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2018/05/16 11:00:00+00,2018/05/16 23:00:00+00,Charleston PD,FILMING TV SHOW,,2018/05/18 20:26:56+00,HERRINJ,2018/05/18 20:27:48+00,HERRINJ,,,No,172.845873284093
2886,BRAVO ST,BETWEEN BEE ST AND RALPH H JOHNSON ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2018/05/26 07:00:00+00,2018/05/26 17:00:00+00,Charleston PD,LIFTING HVAC ONTO ROOF,,2018/05/30 16:38:13+00,HERRINJ,2018/05/30 16:40:31+00,HERRINJ,,,No,185.731429537306
2888,SAINT PHILIP ST,BETWEEN CALHOUN ST AND GEORGE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/30 08:30:00+00,2018/05/31 12:30:00+00,Charleston PD,ROBINSON THEATRE LOAD IN,,2018/05/30 18:35:47+00,HERRINJ,2018/05/30 18:36:49+00,HERRINJ,,,No,269.042813741076
2889,HAGOOD AVE,BETWEEN CONGRESS ST AND HUGER ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/29 09:30:00+00,2018/06/29 03:30:00+00,Charleston PD,INSTALLING MASTER METER SEWER SERVICE FOR BASTIN HALL,,2018/05/30 18:37:21+00,HERRINJ,2018/05/30 18:38:29+00,HERRINJ,,,No,180.258327580867
2891,HANOVER ST,BETWEEN LINE ST AND SHEPPARD ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/06/12 09:00:00+00,2018/07/12 15:00:00+00,Charleston PD,ACCESS GAS MAIN TO RUN NEW SERVICE,,2018/06/01 19:53:30+00,HERRINJ,2018/06/01 19:54:27+00,HERRINJ,,,No,113.657952038834
2892,SAINT PHILIP ST,BETWEEN CALHOUN ST AND GEORGE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/06/03 07:30:00+00,2018/06/03 16:30:00+00,Charleston PD,CISTERN LOADOUT,,2018/06/01 19:57:09+00,HERRINJ,2018/06/01 19:58:02+00,HERRINJ,,,No,269.042813741076
2893,SAINT PHILIP ST,BETWEEN CALHOUN ST AND GEORGE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/05/30 08:30:00+00,2018/05/31 12:30:00+00,Charleston PD,ROBINSON THEATRE LOAD OUT,,2018/06/01 19:58:23+00,HERRINJ,2018/06/01 19:59:20+00,HERRINJ,,,No,269.042813741076
2895,HASELL ST,BETWEEN KING ST AND MEETING ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/06/04 09:00:00+00,2018/06/11 15:00:00+00,Charleston PD,SPLICE FIBER IN MH,,2018/06/11 20:24:39+00,HERRINJ,2018/06/11 20:25:31+00,HERRINJ,,,No,223.414169254599
2896,KING ST,BETWEEN WENTWORTH ST AND HASELL ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/06/04 09:00:00+00,2018/06/12 15:00:00+00,Charleston PD,SPLICE FIBER MH,,2018/06/11 20:26:09+00,HERRINJ,2018/06/11 20:27:22+00,HERRINJ,,,No,109.45765829948
2897,KRACKE ST,BETWEEN BOGARD ST AND 17,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2018/06/04 07:00:00+00,2018/06/29 07:00:00+00,Charleston PD,INSTALLING BULKHEAD ON SEWER SYSTEM,,2018/06/11 20:27:56+00,HERRINJ,2018/06/11 20:28:49+00,HERRINJ,,,No,31.2745441097373
2899,LAURENS ST,BETWEEN ANSON ST AND EAST BAY ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2018/06/07 08:00:00+00,2018/06/07 16:00:00+00,Charleston PD,ROAD REPAIR,,2018/06/11 20:33:04+00,HERRINJ,2018/06/11 20:33:50+00,HERRINJ,,,No,268.077826036566
2901,RACE ST,BETWEEN KING ST AND RUTLEDGE AVE,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2018/06/11 09:00:00+00,2018/06/15 15:30:00+00,Charleston PD,INSTALLING NEW POLE,,2018/06/11 20:41:06+00,HERRINJ,2018/06/11 20:42:04+00,HERRINJ,,,No,492.66406463142
2903,CALHOUN ST,BETWEEN OGIER ST AND RUTLEDGE AVE,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,FLOOD,ACTIVE,2018/06/08 13:00:00+00,2018/06/08 16:45:00+00,Charleston PD,,,2018/06/08 17:05:38+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 19:49:51+00,city\bentonm,,,No,94.8665021521993
2905,BEAUFAIN ST,BETWEEN SMITH ST AND WILSON ST,CLOSED,ALL LANES CLOSED,FLOOD,ACTIVE,2018/06/08 13:15:00+00,2018/06/08 16:45:00+00,Charleston PD,,,2018/06/08 17:16:45+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 19:41:30+00,city\bentonm,,,No,249.580428622996
2906,E BAY ST,BETWEEN N MARKET ST AND S MARKET ST,CLOSED,ALL LANES CLOSED,FLOOD,ACTIVE,2018/06/08 13:45:00+00,2018/06/08 15:15:00+00,Charleston PD,,,2018/06/08 17:44:59+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 19:58:06+00,city\bentonm,,,No,29.2854006642086
2907,S MARKET ST,BETWEEN MEETING ST AND E BAY ST,CLOSED,ALL LANES CLOSED,FLOOD,ACTIVE,2018/06/08 13:30:00+00,2018/06/08 16:45:00+00,Charleston PD,,,2018/06/08 18:35:34+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 20:35:37+00,city\bentonm,,,No,479.238780098848
2908,COMING ST,BETWEEN BEAUFAIN ST AND WENTWORTH ST,CLOSED,ALL LANES CLOSED,FLOOD,ACTIVE,2018/06/08 13:15:00+00,2018/06/08 16:00:00+00,Charleston PD,,,2018/06/08 17:17:32+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 19:56:09+00,city\bentonm,,,No,147.152254460784
2909,RUTLEDGE AVE,@ SHEPPARD ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,FLOOD,ACTIVE,2018/06/08 13:15:00+00,2018/06/08 16:45:00+00,Charleston PD,,,2018/06/08 17:18:40+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 20:28:08+00,city\bentonm,,,No,23.8417910120223
2910,RUTLEDGE AVE,BETWEEN CALHOUN ST AND BENNETT ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2018/06/08 13:15:00+00,2018/06/08 08:15:00+00,Charleston PD,,,2018/06/08 17:23:15+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 20:28:09+00,city\bentonm,,,No,159.585952325934
2911,BENNETT ST,BETWEEN ASHLEY AVE AND RUTLEDGE AVE,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2018/06/08 13:15:00+00,2018/06/08 08:15:00+00,Charleston PD,,,2018/06/08 17:23:47+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 19:43:41+00,city\bentonm,,,No,170.923709015532
2912,ASHLEY AVE,BETWEEN BENNETT ST AND CALHOUN ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2018/06/08 13:15:00+00,2018/06/08 08:15:00+00,Charleston PD,,,2018/06/08 17:24:17+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 19:36:01+00,city\bentonm,,,No,186.492227179412
2913,HASELL ST,BETWEEN E BAY ST AND WASHINGTON,CLOSED,LANES PARTIALLY BLOCKED,FLOOD,ACTIVE,2018/06/08 13:15:00+00,2018/06/08 13:45:00+00,Charleston PD,,,2018/06/08 17:25:56+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 20:05:17+00,city\bentonm,,,No,97.3419107144244
2916,SHEPPARD ST,@ SEPTIMA P CLARK PKWY,CLOSED,ALL LANES CLOSED,FLOOD,ACTIVE,2018/06/08 13:15:00+00,2018/06/08 16:45:00+00,Charleston PD,,,2018/06/08 18:28:23+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 21:16:14+00,city\bentonm,,,No,152.972028905892
2917,N MARKET ST,BETWEEN E BAY ST AND MEETING ST,CLOSED,ALL LANES CLOSED,FLOOD,ACTIVE,2018/06/08 13:30:00+00,2018/06/08 13:45:00+00,Charleston PD,,,2018/06/08 18:36:23+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 20:22:16+00,city\bentonm,,,No,476.549080086256
2918,WASHINGTON ST,BETWEEN HASELL ST AND LAURENS ST,CLOSED,ALL LANES CLOSED,FLOOD,ACTIVE,2018/06/08 13:30:00+00,2018/06/08 15:45:00+00,Charleston PD,,,2018/06/08 18:37:04+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 20:38:58+00,city\bentonm,,,No,352.668580469657
2919,MARKET ST,BETWEEN KING ST AND MEETING ST,CLOSED,ALL LANES CLOSED,FLOOD,ACTIVE,2018/06/08 13:30:00+00,2018/06/08 13:45:00+00,Charleston PD,,,2018/06/08 18:37:47+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 20:19:23+00,city\bentonm,,,No,189.609836360684
2920,JOHN ST,BETWEEN KING ST AND MEETING ST,CLOSED,ALL LANES CLOSED,EMERGENCY,ACTIVE,2018/06/08 13:45:00+00,2018/06/08 15:15:00+00,Charleston PD,,,2018/06/08 18:57:35+00,city\bentonm,2018/06/08 20:12:27+00,city\bentonm,,,No,251.164208318426
2922,BENNETT ST,@ BARRE,CLOSED,ALL LANES CLOSED,FLOOD,ACTIVE,2018/06/08 15:15:00+00,2018/06/08 16:45:00+00,Charleston PD,,,2018/06/08 20:15:45+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 19:43:41+00,city\bentonm,,,No,13.0080237065501
2923,BENNETT ST,@ GADSDEN,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2018/06/08 16:00:00+00,2018/06/08 11:00:00+00,Charleston PD,,,2018/06/08 21:53:44+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 19:43:42+00,city\bentonm,,,No,20.6259704042757
2925,GEORGE ST,BETWEEN SAINT PHILIP ST AND COMING ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2018/08/20 08:00:00+00,2018/08/20 12:00:00+00,Charleston PD,NEW STUDENT CONVOCATION,,2018/06/13 17:32:02+00,HERRINJ,2018/06/13 17:34:40+00,HERRINJ,,,No,212.612502383836
2926,SAINT PHILIP ST,BETWEEN CALHOUN ST AND GEORGE ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2018/08/20 08:00:00+00,2018/08/20 12:00:00+00,Charleston PD,NEW STUDENT CONVOCATION,,2018/06/13 17:35:23+00,HERRINJ,2018/06/13 17:36:33+00,HERRINJ,,,No,269.042813741076
